name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj_hoc,FDR,falsePos,WT_rep1,WT_rep2,SMC4KD_rep1,SMC4KD_rep2
PBANKA_1412200,1712.675,2235.75,1189.6,0.532077334190247,-0.910292147009799,5.81463610380181,0.000916314794728328,1,0.0508419715364308,4.52493546674234,2278.5,2193,1253.6,1125.6
PBANKA_0521300,3138.625,4072.85,2204.4,0.541279727197841,-0.885553739753415,6.68803118918107,0.000918277631603205,1,0.0508419715364308,4.57577743827877,3946.9,4198.8,2169.7,2239.1
PBANKA_1228500,3475.35,4535.45,2415.25,0.532485140679082,-0.90918682826759,6.83519416036885,0.000932615977836604,1,0.0510684111819758,4.6472254175598,4859.8,4211.1,2588.7,2241.8
PBANKA_0910700,2684.8,3484.95,1884.65,0.540787203186709,-0.886867081798159,6.46293369261597,0.000962405652554166,1,0.0521203719921415,4.79507422327702,3585.4,3384.5,1936.1,1833.2
PBANKA_1118300,1809.925,1227.35,2392.5,1.94733055137162,0.961497796409358,5.89605366338011,0.000976007630647733,1,0.0521203719921415,4.84719459526916,1402.7,1052,2089,2696
PBANKA_1442200,16284.25,21813.65,10754.85,0.493021324406079,-1.02027804676375,9.06303111612558,0.000983205893490127,1,0.0521203719921415,4.8993149672613,24565.4,19061.9,12532.1,8977.6
PBANKA_0806700,2942.125,3824.25,2060,0.538784679375289,-0.892219267293431,6.59469993876199,0.00105659735405744,1,0.0548464272263624,5.21041058650443,3544.7,4103.8,2100.1,2019.9
PBANKA_1026100,690.45,925.75,455.15,0.491274146991885,-1.02539977476439,4.50587402412847,0.00105664399232005,1,0.0548464272263624,5.26525701373079,1024.9,826.6,442.2,468.1
PBANKA_0823700,1138.175,1498.55,777.8,0.518987907961063,-0.946227169652639,5.22562450863547,0.00107139035459702,1,0.0550385374944018,5.33873813695697,1546.4,1450.7,795.9,759.7
PBANKA_1010300,2943.475,3829.5,2057.45,0.537383225950253,-0.895976805572144,6.5953402939632,0.00110050038074809,1,0.055957075482324,5.48379339726776,3523,4136,2163.7,1951.2
PBANKA_1126800,15248.225,20806.7,9689.75,0.46572788642615,-1.10244082577569,8.96804650256678,0.00112834143596413,1,0.0567931856101946,5.62252537540927,16329.9,25283.5,7637.2,11742.3
PBANKA_0818000,4772.625,6285.5,3259.75,0.518648245202523,-0.947171681451556,7.29257552751587,0.00126062310822195,1,0.061883505650616,6.1883505650616,6289.6,6281.4,3809.6,2709.9
PBANKA_0811400,3758.45,4912.2,2604.7,0.530209439154887,-0.915365740599337,6.94816356796781,0.00126581885167892,1,0.061883505650616,6.25023407071221,5358.7,4465.7,2907.2,2302.2
